编号,产品名称,规格 (kg),调价后单价 (元 /kg)
3721,PU 环保白底漆,20,15.68
2188,PU 白底硬化剂,10,28.00
1870D,PU 封固底漆,20,15.12
308,PU 底漆硬化剂,10,28.00
—,水性补土,4,14.56
—,黄色精,4,47.04
—,底色精,4,47.04
8828,PU 头度底漆,20,15.68
6822B,PE 中度底漆,20,20.16
—,修色精／色精,20,47.04
3704,PU 修色漆,18,21.28
7226-50F,PU 耐磨哑光透明面漆,20,26.88
303,PU 哑光硬化剂,10,29.12
777,PU 天那水（面水）,15,14.33
—,PE 天那水,15,13.21
—,松节水／松香水,13,12.88
—,格丽斯,20,42.56
—,白色水性补土,4,14.56
—,PU 头度硬化剂,10,29.12
—,洗枪水,14,13.44
—,PU 白底天那水,15,15.68
—,原子灰,4,14.56
DBE CAC,慢干水,15,20.16
—,PU 耐黄哑光米白面漆,20,31.36
—,PU 耐黄哑光米白硬化剂,10,39.20
779,NC 香槟色面漆,20,42.56
—,PU 色漆,20,31.36
—,丙酮,14,20.16
3708,PU 亮光黑面漆,20,31.36
306B,PU 亮光硬化剂,10,39.20